,Scaler,ActFunc,HiddenArch,Solver,MaxIter,bal_acc
137,standard,relu,"(20, 20, 20)",adam,400,0.7312558763335766
138,standard,relu,"(20, 20, 20)",sgd,100,0.7353494566622489
139,standard,relu,"(20, 20, 20)",sgd,400,0.7353494566622489
140,standard,relu,"(50, 50, 50)",adam,100,0.7253684763017015
141,standard,relu,"(50, 50, 50)",adam,400,0.7136977116097946
142,standard,relu,"(50, 50, 50)",sgd,100,0.7355502261421353
143,standard,relu,"(50, 50, 50)",sgd,400,0.7355502261421353
144,minmax,logistic,"(10,)",adam,100,0.734754525859442
145,minmax,logistic,"(10,)",adam,400,0.734754525859442
146,minmax,logistic,"(10,)",sgd,100,0.7302697933061097
147,minmax,logistic,"(10,)",sgd,400,0.7324825039265677
148,minmax,logistic,"(20,)",adam,100,0.7329926911905426
149,minmax,logistic,"(20,)",adam,400,0.7329926911905426
150,minmax,logistic,"(20,)",sgd,100,0.731807488341119
151,minmax,logistic,"(20,)",sgd,400,0.732446150353673
152,minmax,logistic,"(50,)",adam,100,0.7338514145159938
153,minmax,logistic,"(50,)",adam,400,0.7338514145159938
154,minmax,logistic,"(50,)",sgd,100,0.7314613045696533
155,minmax,logistic,"(50,)",sgd,400,0.7333287784444942
156,minmax,logistic,"(10, 10)",adam,100,0.732168427386289
157,minmax,logistic,"(10, 10)",adam,400,0.732168427386289
158,minmax,logistic,"(10, 10)",sgd,100,0.5750174611709473
159,minmax,logistic,"(10, 10)",sgd,400,0.5750174611709473
160,minmax,logistic,"(20, 20)",adam,100,0.7341280224368143
161,minmax,logistic,"(20, 20)",adam,400,0.7341280224368143
162,minmax,logistic,"(20, 20)",sgd,100,0.7177081980575645
163,minmax,logistic,"(20, 20)",sgd,400,0.7332916000426345
164,minmax,logistic,"(50, 50)",adam,100,0.7320347592701535
165,minmax,logistic,"(50, 50)",adam,400,0.7320347592701535
166,minmax,logistic,"(50, 50)",sgd,100,0.7235190570164244
167,minmax,logistic,"(50, 50)",sgd,400,0.7342966846855137
168,minmax,logistic,"(10, 10, 10)",adam,100,0.7341937643602341
169,minmax,logistic,"(10, 10, 10)",adam,400,0.7341937643602341
170,minmax,logistic,"(10, 10, 10)",sgd,100,0.5
171,minmax,logistic,"(10, 10, 10)",sgd,400,0.5
172,minmax,logistic,"(20, 20, 20)",adam,100,0.7315043331473192
173,minmax,logistic,"(20, 20, 20)",adam,400,0.7315043331473192
174,minmax,logistic,"(20, 20, 20)",sgd,100,0.5
175,minmax,logistic,"(20, 20, 20)",sgd,400,0.5
176,minmax,logistic,"(50, 50, 50)",adam,100,0.7311703079657796
177,minmax,logistic,"(50, 50, 50)",adam,400,0.7311703079657796
178,minmax,logistic,"(50, 50, 50)",sgd,100,0.5
179,minmax,logistic,"(50, 50, 50)",sgd,400,0.5
180,minmax,relu,"(10,)",adam,100,0.735857459656928
181,minmax,relu,"(10,)",adam,400,0.735857459656928
182,minmax,relu,"(10,)",sgd,100,0.734406570233163
183,minmax,relu,"(10,)",sgd,400,0.734406570233163
184,minmax,relu,"(20,)",adam,100,0.7342630499932807
185,minmax,relu,"(20,)",adam,400,0.7342630499932807
186,minmax,relu,"(20,)",sgd,100,0.7338899523581845
187,minmax,relu,"(20,)",sgd,400,0.7338899523581845
188,minmax,relu,"(50,)",adam,100,0.7358133160326985
189,minmax,relu,"(50,)",adam,400,0.7358133160326985
190,minmax,relu,"(50,)",sgd,100,0.733213287114806
191,minmax,relu,"(50,)",sgd,400,0.733213287114806
192,minmax,relu,"(10, 10)",adam,100,0.736438047600513
193,minmax,relu,"(10, 10)",adam,400,0.736438047600513
194,minmax,relu,"(10, 10)",sgd,100,0.7328147572532939
195,minmax,relu,"(10, 10)",sgd,400,0.7328147572532939
196,minmax,relu,"(20, 20)",adam,100,0.7355679905141004
197,minmax,relu,"(20, 20)",adam,400,0.7355679905141004
198,minmax,relu,"(20, 20)",sgd,100,0.7346826435426173
199,minmax,relu,"(20, 20)",sgd,400,0.7346826435426173
200,minmax,relu,"(50, 50)",adam,100,0.7381207445126191
201,minmax,relu,"(50, 50)",adam,400,0.7354419902524156
202,minmax,relu,"(50, 50)",sgd,100,0.7371420391220044
203,minmax,relu,"(50, 50)",sgd,400,0.7371420391220044
204,minmax,relu,"(10, 10, 10)",adam,100,0.7397579383601649
205,minmax,relu,"(10, 10, 10)",adam,400,0.7397579383601649
